"Year","Single Family Residential","Multiple Residential","Business","Industrial","Municipal","Irrigation","Golf Course Irrigation","Coast Irrigation","Other"
2001,1485.851136,859.440032,716.71864,341.925012,62.505124,130.083184,109.561056,48.140532,3.131128
2002,1503.455316,835.511512,695.6774,232.65792,60.152664,129.28058,113.79698,40.551324,4.3384
2003,1501.610748,811.95774,665.931684,247.246164,64.16718,132.185812,108.455512,68.133824,2.866336
2004,1520.597232,815.031272,678.400096,248.607524,63.287532,137.836952,110.772816,81.3637,4.02424
2005,1424.190504,797.896088,671.040524,229.493132,54.511248,124.471688,79.783176,61.88578,4.508196
2006,1359.323196,752.01676,629.947648,235.77708,53.471528,117.916216,83.367592,75.681892,3.79236
2007,1357.056756,727.615504,635.906964,237.769004,66.701404,130.752644,102.673472,25.883044,2.799764
2008,1373.891244,735.436592,609.590828,240.348856,65.651212,136.954312,120.08018,25.750648,3.739252
2009,1217.187488,686.947492,553.804988,185.358888,46.26006,90.867788,90.750352,18.091876,3.8335
2010,1184.4954,690.701704,527.28016,227.413692,48.517524,95.760456,77.676808,20.87668,2.01586
